순번,기업이름,중분류,소분류,기업정보,대표기술,대표제품,사이트 주소
11,The Alternative Dairy C9,대체식품,식물성,대체유 브랜드,식물성 베이스판매,"오트, 아몬드, 콩, 코코넛 대체유팩",
12,소이아워밀,대체식품,식물성,"식물성 콩, 후무스 제조",완제제조,"후무스 (당근맛, 담백한맛)",https://smartstore.naver.com/soyourmeal
13,밀프로젝트,대체식품,식물성,채소간편식 개발 브랜드.,완제제조,"채소너겟, 캐슈넛슈프, 바삭조청볼",https://shopmealp.com/
14,페스타,대체식품,식물성,국산 콩으로 만드는 콩 페스토 전문,콩 페스토,"콩 페스토 
(트러플버섯콩, 토마토호랑이콩, 서리태김, 노란콩, 청태바질)",https://smartstore.naver.com/feasta
15,조선콩무스,대체식품,식물성,콩을 이용해만든 후무스 타입의 콩무스,콩 완제판매,"콩무스 (대추야자, 토마토바질 등)",https://smartstore.naver.com/hsjumin
16,위미트,대체식품,식물성,버섯으로 만드는 대체육 제품 브랜드,버섯육 반찬,"버섯 프라이드 닭강정 제품 (양념, 청양마요, 간장) , 후무스
버섯 덮밥, 버섯꿔바로우",https://eatwemeet.co/
17,어반랩스,업사이클푸드,식물성,친환경 기술을 접목한 업사이클링 푸드테크 기업,커피박 업사이클링 기술,"커피박을 활용한 식물성 단백질 '커플로우(Cofflour)'
식물성 원료만으로 커피의 향미를 구현하는 '제로빈(Zero-Bean) 커피'",-
18,리하베스트(어글리바이츠),업사이클푸드,식물성,"식품 제조 공정에서 발생하는 부산물을 업사이클링
친환경 식품 및 원료를 개발하는 최초의 푸드 업사이클링 기업",업사이클링 기술,"맥주박, 식혜박, 야채박을 업사이클링한 만능 '리너지가루'(밀기울분, 엿기름분, 맥아박)
리너지 가루를 바탕으로 만든 '리:베이크' 베이커리 제품 (Ugly Bites Club)","https://www.reharvest.net/
https://smartstore.naver.com/reharvest"
19,호수,업사이클푸드,식물성,"식품소재 전문기업, 
푸드 업사이클링 원료로 2024 서울국제식품전 참가",업사이클링 기술,"업사이클링으로 만들어진 '리그레인(Regrain)' 분말. (안스 베이커리, 마루비시코리아 에 적용)",https://www.upcyclingkorea.com/regrain
20,휴밀(Humeal),업사이클푸드,식물성,"지속가능성을 최우선으로, 독자적인 푸드테크 기술력과
식품제조 노하우를 바탕으로 하는 식품소재 기업","SSP 
(액상화, 건조처리를 단일 공정에서 가속화 시키는 초단축 공정)","대체단백질류, '식물성 밀크 파우더' (두유분말, 볶은 두유분말, 서리태, 오트밀크 등
식물성 푸드잉크 베이스 활용 가능",https://humeal.com/
21,로케뜨코리아,대체식품,대체단백,식물성 단백질 원료 및 의약품 부형제의 공급업체,식물성단백질,"쌀 단백, 밀 단백, 완두 단백, 파바 단백 등.",
22,볼비,대체식품,식물성,비건 두유 그릭요거트로 유명함. 최근에 트웰브 매장 입고.,그릭요거트,비건 두유 그릭 요거트,https://www.instagram.com/bowl_b_/
23,콩그래츠,대체식품,식물성,콩과 곡물로 만든 시리얼,시리얼,콩과 곡물로 만든 시리얼,https://www.instagram.com/kongrats_cerial/
24,HHD,대체식품,식물성,스피룰리나를 담은 국내 최초 스피룰리나 함유 에너지바,에너지바류 완제,스피룰리나 에너지바,https://www.hhdbymored.com/
25,심플플래닛,대체식품,대체단백,"세포배양 기술기반의 기능성 미래식품 원료와
바이오신소재를 개발하는 바이오 푸드테크기업",단백질분말 판매,"고함량 단백질 분말, 오메가-3 분말",https://simpleplanet.io/
26,언리미트(지구인컴퍼니),대체식품,대체단백,지속가능하고 맛있는 식물성 푸드를 제안합니다.,비건 대체육 제조판매,"식물성 고기, 식물성 비건 베이커리, 스낵",https://unlimeat.com/index.html
27,연세유업,대체식품,식물성,식물성 음료 '플래너츠',식물성유,플래너츠 음료 (7가지 견과류를 사용),
28,홍스팜,대체식품,식물성,견과베이스로 만든 식물성 대체유,대체유,"마시는견과 시리즈 (아몬드, 브라질넛, 마카다미아 블렌딩)",https://hongsfarm1.cafe24.com/shop2/shopinfo/product.html
29,스윗드오,대체식품,식물성,"식물성 웰빙 푸드 브랜드, 비건 두유 그릭요거트",그릭요거트,두유 그릭 요거트,https://www.instagram.com/sweet_deo/
30,에코비오스,대체식품,식물성,"마이크로바이옴을 활용한 기술, 식품사업부/곤충사업부",마이크로바이옴 제품,"단백질 대체소재개발, 천연물 기능성 요구르트,
버섯의 베타글루칸에 초점을 맞춘 그린바이오 기술",http://ecobios.kr/
31,바이셀,대체식품,식물성,발효농후유 제조. 백태를 유산균 발효하여 만든 요거트,식물성요거트,소이포유 (비건요거트 시리즈),https://www.vicell.co.kr/goods/goods_list.php?cateCd=002002
32,소미노,대체식품,식물성,국산 약콩과 백태를 사용한 식물성 발효기업,식물성 발효제품,"발효식, 미유분, 아미노산",https://somino.net/
33,임파서블푸드(해외),대체식품,대체단백,정밀발효를 통해 생성된 헤모글로빈을 식물성 버거에 활용한 패티,정밀발효기술 단백육,육가공 제품,https://impossiblefoods.com/
34,퍼펙트데이(해외),대체식품,식물성,"미생물을 이용한 발효로 유청단백을 생산.
그 유청단백을 이용해 만든 식물성 아이스크림",아이스크림 제조판매(식물성유지),대체유 적용 아이스크림 제품,https://perfectday.com/
35,퀀(Quorn)(해외),대체식품,대체단백,진균류 단백질 (마이코프로틴)을 주성분으로 하는 대체육브랜드,"대체육용 지방구현, 식감개선 지방기술",,https://www.quorn.co.uk/
36,Nature's Fynd(해외),대체식품,식물성,"균사체 발효를 통해 제조한 식물성 단백 (Fy,tm) 을 이용한
식물성 유제품, 식물성 패티, 식물성 프로틴 바이트",식물성유제품,"Fungi-Powdered Foods, 균사체 발효식품 위주",https://www.naturesfynd.com/products
37,셀미트,대체식품,대체단백,세포기반 배양육 기술 업체,배양육,,
38,씨위드,대체식품,대체단백,미세조류를 기반으로 한 배양육 기술 업체,배양육,,
39,탑테이블/푸디안,푸드프린팅,"식품프린팅기술(기계, 잉크)",3D 푸드 푸린팅 업체,프린터기계,"푸드잉크, 푸드프린터 본체",https://www.toptable.co.kr/
40,"오성시스템(푸드봇,초코젯)",푸드프린팅,식품프린팅 기계,"3D 프린터를 이용한 식품가공, 의료바이오솔루션 등",프린터기계,푸드프린터,https://www.smart3dkr.com/foodcate
